#NAME,ERR2213660,ERR2213665,ERR2213666,ERR2213669,ERR2213672,ERR2213675,ERR2213677,ERR2213680,ERR2213682,ERR2213685,ERR2213688,ERR2213691,ERR2213694,ERR2213696,ERR2213699,ERR2213700,ERR2213701,ERR2213704,ERR2213705,ERR2213706,ERR2213707,ERR2213715,ERR2213719,ERR2213723,ERR2213728,ERR2213731,ERR2213733,ERR2213734,ERR2213735,ERR2213736,ERR2213737,ERR2213740,ERR2213741,ERR2235210,ERR2235211,ERR2235212,ERR2235213,ERR2235214,ERR2235215,ERR2235216,ERR2235217,ERR2235218,ERR2235219,ERR2235220,ERR2235221,ERR2235223,ERR2235225,ERR2235226,ERR2235227,ERR2235228,ERR2235229,ERR2235230,ERR2235231,ERR2235232,ERR2235233,ERR2235234,ERR2235235,ERR2235236,ERR2235237,ERR2235238,ERR2235239,ERR2235240,ERR2235241,ERR2235242,ERR2235243,JZLC_04,JZLC_08,JZLC_10,JZLC_15,JZLC_16,JZLC_19,JZLC_21,JZLC_22,JZLC_27,JZLC_30,JZLC_31,JZLC_32,JZLC_36,JZLC_37,SRR15372978,SRR15372967,SRR15372934,SRR15372933,SRR15372932,SRR15372931,SRR15372929,SRR15372927,SRR15372925,SRR15372924,SRR15372923,SRR15372921,SRR15372920,SRR15372918,SRR15372916,SRR15372915,SRR15372911,SRR15372910,SRR15372909,SRR15372907,SRR15372905,SRR15373173,SRR15373172,SRR15373171,SRR15373169,SRR15373168,SRR15373166,SRR15373164,SRR15372903,SRR15372906,SRR15372900,SRR15372896,SRR15372898,SRR15372899,SRR15372928,SRR15372926,SRR15373165,SRR15372935,SRR15372936,SRR15372883,SRR15373161,SRR15373162,SRR15373163,SRR15373160,SRR15373159,SRR15373158,SRR15373082,SRR15373081,SRR15373054,SRR15373053,SRR15372922,SRR15373080,SRR15373170,SRR15373047,SRR15372913,SRR15373079,SRR15372914,SRR15372912,SRR15372887,SRR15372904,SRR15373077,SRR15373044,SRR15372917,SRR15372902,SRR15373074,SRR15373043,SRR15373035,SRR15373037,SRR15373036,SRR15373030,SRR15373038,SRR15373039,SRR15373033,SRR15373031,SRR15373032,SRR15372895,SRR15373073,SRR15373042,SRR15373072,SRR15372894,SRR15372901,SRR15372885,SRR15372893,SRR15373154,SRR15373153,SRR15373071,SRR15373070,SRR15372892,SRR15372891,SRR15372890,SRR15373068,SRR15373069,SRR15373152,SRR15373151,SRR15373066,SRR15373029,SRR15373028,SRR15373025,SRR15373024,SRR15373022,SRR15373021,SRR15373020,SRR15373019,SRR15373100,SRR15373099,SRR15373098,SRR15373097,SRR15373096,SRR15373095,SRR15373094,SRR15373093,SRR15373092,SRR15373091,SRR15373088,SRR15372884,SRR15373157,SRR15372888,SRR15372889,SRR15373052,SRR15373051,SRR15373050,SRR15373049,SRR15373048,SRR15373120,SRR15373114,SRR15373113,SRR15373111,SRR15373110,SRR15373109,SRR15373108,SRR15373106,SRR15373105,SRR15373104,SRR15373102,SRR15373124,SRR15373122,SRR15373121,SRR15373119,SRR15373118,SRR15373117,SRR15373116,SRR15373115,SRR15373107,SRR15373103,SRR15372878,SRR15372876,SRR15372881,SRR15373065,SRR15372868,SRR15372867,SRR15373150,SRR15372874,SRR15372873,SRR15372877,SRR15372879,SRR15372880,SRR15373064,SRR15373149,SRR15373148,SRR15372871,SRR15372872,SRR15373147,SRR15372870,SRR15373146,SRR15373144,SRR15372865,SRR15373062,SRR15372983,SRR15373046,SRR15373041,SRR15373040,SRR15372990,SRR15372869,SRR15373001,SRR15372956,SRR15373195,SRR15373075,SRR15373061,SRR15373016,SRR15373014,SRR15373018,SRR15373011,SRR15373015,SRR15373017,SRR15373027,SRR15373013,SRR15373060,SRR15373059,SRR15373058,SRR15373199,SRR15373196,SRR15373198,SRR15373193,SRR15373000,SRR15373003,SRR15373008,SRR15373006,SRR15373009,SRR15373002,SRR15373004,SRR15373010,SRR15373007,SRR15373005,SRR15373197,SRR15372982,SRR15372980,SRR15372981,SRR15372977,SRR15372976,SRR15372975,SRR15372974,SRR15372965,SRR15372964,SRR15372963,SRR15372962,SRR15372960,SRR15372961,SRR15372959,SRR15372966,SRR15372969,SRR15372972,SRR15372971,SRR15372970,SRR15372968,SRR15372973,SRR15373140,SRR15373141,SRR15373142,SRR15373139,SRR15373138,SRR15373137,SRR15373194,SRR15373136,SRR15373192,SRR15373190,SRR15373083,SRR15373084,SRR15373087,SRR15373086,SRR15373085,SRR15373188,SRR15373185,SRR15373187,SRR15373186,SRR15373184,SRR15372944,SRR15372947,SRR15372946,SRR15372942,SRR15372939,SRR15372941,SRR15372940,SRR15372937,SRR15372938,SRR15372943,SRR15373026,SRR15372997,SRR15372998,SRR15372985,SRR15372986,SRR15372993,SRR15372996,SRR15372995,SRR15372988,SRR15372987,SRR15372994,SRR15372992,SRR15372991,SRR15372989,SRR15372984,SRR15372999,SRR15373155,SRR15373076,SRR15373063,SRR15372945,SRR15372866,SRR15373191,SRR15373183,SRR15373181,SRR15373182,SRR15373180,SRR15372882,SRR15373179,SRR15372957,SRR15372952,SRR15372955,SRR15372954,SRR15372953,SRR15372949,SRR15372951,SRR15372950,SRR15372958,SRR15372897,SRR15373200,SRR15372875,SRR15372948,SRR15373135,SRR15373133,SRR15373132,SRR15373131,SRR15373130,SRR15373129,SRR15373128,SRR15373127,SRR15373126,SRR15373125,SRR15373057,SRR15373177,SRR15373176,SRR15373175,SRR15373055,SRR15373174,SRR15373201,SRR15373202,SRR15372979,SRR15372930,SRR15373090,SRR15373189,SRR15373178,SRR15373167,SRR15373145,SRR15373134,SRR15373156,SRR15373045,SRR15373034,SRR15373023,SRR15372886,SRR15372919,SRR15372908,SRR15373123,SRR15373112,SRR15373101,SRR15373056,SRR15373067,SRR15373089,SRR15373078,SRR15373012,SRR15373143
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Candidatus_Methanomethylophilaceae;g__Candidatus_Methanomethylophilus;s__Candidatus_Methanomethylophilus_alvus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12043,0,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,18053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4813,0,0,0,0,0,0,81865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__GGB260;s__GGB260_SGB362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_archaeon_DOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9528,0,0,0,82551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8395,0,0,0,0,0,0,0,0,0,0,0,7729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9352,0,0,0,0,0,2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15355,0,0,0,0,0,31643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22703,33493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_unclassified_SGB380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22735,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,58470,0,0,0,0,0,0,61453,0,0,0,0,23394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23602,0,0,0,0,0,0,0,12937,0,0,0,0,0,0,0,0,0,0,0,0,4040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15839,0,0,52986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9355,0,0,0,0,0,14667,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus_luminyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified;g__Methanomassiliicoccales_unclassified;s__Methanomassiliicoccales_archaeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26375,0,0,0,0,0,0,0,0,0,0,2426,0,0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8468,0,0,0,0,0,0,0,53670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61066,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermofilaceae;g__GGB1567;s__GGB1567_SGB2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Euryarchaeota;c__CFGB343;o__OFGB343;f__FGB343;g__GGB781;s__GGB781_SGB1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825667,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177053,0,0,0,0,0,0,0,0,223293,0,0,0,0,0,0,131073,0,0,0,0,0,0,0,0,0,0,0,0,1394366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522037,0,0,0,0,0,0,0,2004,0,0,0,0,0,0,1754811,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,4025884,0,0,0,0,108263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__GGB519;s__GGB519_SGB697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,325,0,0,0,1467,0,0,0,0,4878,5504,0,9016,0,0,0,57408,0,31707,0,3680,0,0,0,0,0,5084,0,0,2905,0,4855,0,0,1497,0,0,0,0,0,0,4726,495,0,162,0,0,0,0,1127,6165,0,1235,20517,0,0,0,0,0,28700,14573,0,359526,0,0,0,0,0,19805,221153,400801,0,0,0,0,776,0,0,0,0,0,0,2486,200,0,0,0,0,0,0,575,0,0,4286,0,7359,5680,0,0,744,3870,13192,0,0,0,19238,876,0,283,0,0,0,0,23837,0,0,8898,0,6317,1644,0,0,0,0,20219,33169,0,0,0,0,18703,1631,0,130,9847,0,0,0,0,75642,1689,35578,17622,1519,0,2577,0,3054,695,17109,0,0,0,2587,0,52,0,0,0,0,1084,2830,158,0,0,0,1486,245203,0,0,1698,2953,2880,0,1294,5089,0,0,6451,0,0,0,3920,0,29640,0,0,0,0,0,0,0,5558,0,0,7232,0,0,0,2954,2654,1974,0,19288,1707,0,0,0,0,5446,4927,381,0,0,0,0,0,18802,0,24253,0,12207,0,23763,0,7590,0,974,117706,4576,0,8048,0,0,0,3921,16746,32359,3042,0,0,0,0,18480,176705,0,0,0,0,1962,584,12653,13549,0,186091,0,29741,29005,0,12132,0,14092,49411,40180,0,1403,273551,256676,0,5795,0,0,0,0,16,26652,9044,0,0,0,0,0,0,0,3034,0,0,0,1957,0,0,0,0,0,0,0,0,488,4832,0,0,0,17386,282,0,0,0,19959,28143,338,7897,0,0,0,1249,14935,2704,0,0,34,3667,3652,0,318,0,2678,0,0,17520,127,2065,0,190018,22139,0,3958,0,0,0,6764,0,1632,0,0,0,0,0,13416,266,0,5267,0,1180,0,3094,0,0,0,0,0,0,4657,0,1224,14011,0,0,0,0,0,0,1237,5973,10010,46330,5304,0,0,0,1626,0,1917,23817,4319,9991,0,11339,0,55645,3649,0,21751,4935,32561,0,41978,0,0,44677,2707,0,0,0,18529,0,0,0,0,14059
