Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,10,20,1,1,1,1,1,1,1,11,1,1,1,7,2,1,1,8,3,4,1
1,3,20,1,1,1,1,1,1,1,2,1,1,1,3,10,2,1,5,2,1,1
2,3,20,1,1,1,1,1,1,1,4,1,1,2,1,2,1,1,3,1,1,1
1,1,20,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,4,1,1,1,20,1,1,3,1,3,1,1
1,3,20,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1
1,5,20,1,1,1,1,1,1,1,2,1,1,3,2,2,1,2,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,20,1,1,1,2,1,1,1,1,2,1,1
1,1,20,1,1,1,1,1,1,1,9,1,2,1,1,1,1,1,2,4,1,1
1,13,20,3,3,1,1,1,1,2,3,1,1,1,4,6,2,1,3,3,7,1
1,2,20,1,1,1,1,1,1,1,7,1,1,1,3,2,1,1,3,11,1,1
1,1,20,1,1,1,1,1,1,1,2,1,2,1,2,1,1,8,1,2,1,1
1,1,20,1,2,1,2,1,1,1,5,1,1,1,2,1,1,1,2,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,3,20,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,1,1,1,2
1,3,20,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,3,1
1,3,20,1,1,1,1,1,1,1,2,1,1,1,2,5,1,6,1,1,1,1
1,3,15,1,1,1,1,1,1,1,4,1,1,1,2,3,2,20,2,1,1,1
1,3,20,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,20,1,1,1,1,3,1,1,5,1,1,1,6,1,1,2,2,6,2,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
1,3,20,1,1,1,1,1,1,1,2,1,1,1,3,5,1,18,2,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1
