Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,187,3661,10,7,2,0,0,2,0,93,1,18,20,12,167,4,2,55,38,0,89
0,0,3377,99,22,19,61,18,0,131,0,1,17,0,0,475,0,5,104,35,121,0
0,6,3408,19,37,0,0,6,2,6,60,0,0,12,5,80,0,3,95,54,26,0
87,1018,2108,70,88,1,58,27,3,60,1093,0,26,36,635,144,0,0,837,311,353,0
2,181,1535,67,68,0,26,0,9,15,82,6,11,0,183,748,148,0,308,115,25,0
161,327,3080,50,133,0,18,83,2,17,487,1,11,169,127,155,0,8,377,87,32,84
0,30,943,15,11,0,5,47,1,1,48,1,1,10,3,86,0,2,19,13,1,0
0,0,5660,17,16,0,3,71,0,0,17,0,4,0,18,0,0,0,19,29,1,0
0,3,82,24,59,2,29,0,2,16,230,1,5,5,1302,54,0,157,36,141,7,0
28,660,4934,40,58,0,9,0,0,83,546,0,44,7,38,434,57,0,200,54,138,0
0,402,1959,18,5,4,52,0,2,7,137,0,4,233,148,130,0,167,39,69,12,77
0,501,11298,17,38,1,73,19,6,6,397,0,115,21,137,700,0,1,41,40,20,159
10,208,1809,5,18,0,21,21,0,6,1838,2,18,12,181,31,0,0,7,156,80,0
0,12,775,2,12,0,2,0,0,0,323,0,52,1,3,11,22,0,40,122,12,20
1,188,293,33,30,0,12,0,2,20,38,0,9,0,55,86,22,0,33,32,97,0
87,153,2091,47,51,1,93,0,2,26,712,3,64,22,212,131,48,0,227,1112,87,0
0,19,6357,29,17,0,249,166,0,203,453,4,320,0,596,0,0,2481,121,610,56,30
0,0,2572,84,130,30,142,0,19,39,607,0,13,0,196,0,0,5,175,31,25,0
0,145,1847,16,19,4,9,6,0,6,70,0,9,35,61,72,102,0,74,83,50,0
0,0,4677,4,206,0,0,0,0,0,0,0,0,0,0,35,248,0,0,7,0,0
0,280,2422,23,53,3,25,306,0,7,133,10,39,0,12,185,0,0,13,24,47,222
0,62,532,0,5,0,0,4,0,0,54,1,1,14,5,81,0,0,6,2,54,0
0,181,1684,14,20,0,28,8,4,4,130,1,8,80,143,363,0,490,7,8,4,1
2,147,883,32,58,0,34,0,1,4,205,0,50,20,86,137,111,1260,115,19,32,0
0,282,2373,8,19,1,8,99,4,2,55,0,4,11,132,132,0,0,75,18,25,20
0,168,3777,24,71,0,172,416,3,18,902,0,32,65,1064,157,0,297,310,988,208,0
0,17,882,4,5,0,0,0,0,0,0,0,0,0,1,101,14,1,0,0,0,0
0,340,2448,13,118,6,1,1,1,6,221,0,15,63,262,560,0,2114,152,8,23,0
0,38,1206,19,37,16,1,0,0,0,4,0,0,0,0,181,200,0,2,3,0,0
0,161,3257,14,34,0,41,89,2,0,31,7,7,0,15,156,0,1,23,49,12,0
0,143,891,14,42,0,22,4,2,12,1847,2,38,11,76,351,1,0,15,296,157,0
0,481,8697,93,181,0,29,0,2,84,978,1,76,128,110,456,168,0,232,72,49,0
0,280,7085,2,60,1,1,0,7,0,1,0,0,0,17,63,257,0,60,29,17,0
60,219,4225,4,76,0,10,0,18,4,14,2,34,0,120,54,67,0,36,20,80,0
0,548,4333,97,98,11,83,82,22,68,1019,15,183,24,621,190,19,2,481,284,360,84
30,264,3099,3,25,10,25,0,1,22,246,0,17,0,330,390,40,29,909,49,44,0
19,2614,5475,47,302,17,42,17,5,86,1444,1,187,278,306,1150,0,37,111,1259,780,201
4,1270,9884,40,256,0,60,0,9,17,498,0,25,0,158,1446,89,2,184,217,26,0
0,508,3616,6,14,1,18,15,0,5,124,0,1,37,25,53,0,1,13,126,55,1
0,0,424,0,6,0,0,0,0,0,20,0,0,2,3,11,0,0,0,0,19,23
13,291,2413,40,30,0,37,0,6,56,275,2,15,117,47,174,37,0,84,91,20,0
