Abiotrophia,Acetivibrio,Acetobacter,Achromobacter,Acidaminococcus,Acidocella,Acidovorax,Acinetobacter,Actinobacillus,Actinobaculum,Actinocatenispora,Actinomyces,Actinomycetospora,Actinoplanes,Actinopolymorpha,Adlercreutzia,Aerococcus,Aeromicrobium,Aeromonas,Afipia,Aggregatibacter,Agrobacterium,Agrococcus,Agromyces,Akkermansia,Alcaligenes,Alicyclobacillus,Alishewanella,Alistipes,Alkaliphilus,Allobaculum,Alloiococcus,Alloscardovia,Amaricoccus,Amycolatopsis,Anaerobiospirillum,Anaerococcus,Anaerofilum,Anaerofustis,Anaeroglobus,Anaerostipes,Anaerotruncus,Anaerovorax,Anoxybacillus,Aquabacterium,Aquamonas,Aquicella,Arcanobacterium,Arcobacter,Arsenicicoccus,Arthrobacter,Arthronema,Asteroleplasma,Asticcacaulis,Atopobium,Aurantimonas,Azohydromonas,Azomonas,Azospira,Azospirillum,Bacillus,Bacteroides,Bdellovibrio,Bergeyella,Bifidobacterium,Bilophila,Blautia,Bosea,Brachybacterium,Brachymonas,Brachyspira,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevundimonas,Brochothrix,Buchnera,Bulleidia,Burkholderia,Butyrivibrio,Caloramator,Calothrix,Campylobacter,CandidatusCardinium,CandidatusOdyssella,CandidatusPelagibacter,CandidatusSolibacter,Capnocytophaga,Cardiobacterium,Carnobacterium,Catenibacterium,Catonella,Celerinatantimonas,Cellulomonas,Cellvibrio,Chitinophaga,Chroococcidiopsis,Chryseobacterium,Chthoniobacter,Citrobacter,Cloacibacillus,Clostridium,Collinsella,Comamonas,Conchiformibius,Coprobacillus,Coprococcus,Corynebacterium,Cupriavidus,Cystobacter,Cytophaga,Dechloromonas,Dehalobacterium,Deinococcus,Delftia,Demequina,Dermabacter,Dermacoccus,Desemzia,Desulfobulbus,Desulfosporomusa,Desulfovibrio,Devosia,Dialister,Diaphorobacter,Dichelobacter,Dietzia,Dokdonella,Dorea,Dyadobacter,Dysgonomonas,Eggerthella,Eikenella,Elizabethkingia,Ensifer,Enterococcus,Erwinia,Erysipelothrix,Erythrobacter,Escherichia,Ethanoligenens,Eubacterium,Euzebia,Exiguobacterium,Facklamia,Faecalibacterium,Filifactor,Finegoldia,Flavisolibacter,Flavobacterium,Friedmanniella,Fusibacter,Fusobacterium,Gardnerella,Gemella,Geobacillus,Geobacter,Geodermatophilus,Georgenia,Gillisia,Gluconobacter,Gordonia,Granulicatella,Haematobacter,Haemophilus,Haloanella,Halobacillus,Halomonas,Helcococcus,Helicobacter,Herbaspirillum,Holdemania,Hydrocarboniphaga,Hydrogenophilus,Hylemonella,Hymenobacter,Hyphomicrobium,Iamia,Jannaschia,Janthinobacterium,Jeotgalicoccus,Johnsonella,Jonquetella,Kaistella,Kaistia,Kaistobacter,Kineococcus,Kingella,Klebsiella,Kocuria,Kytococcus,LE30,Lachnobacterium,Lachnospira,Lactobacillus,Lactococcus,Lampropedia,Lautropia,Legionella,Leptolyngbya,Leptotrichia,Leucobacter,Leuconostoc,Limnohabitans,Listeria,Luteibacter,Luteococcus,Lutibacterium,Lysobacter,Macrococcus,Marinococcus,Marinomonas,Marmoricola,Massilia,Mechercharimyces,Megamonas,Megasphaera,Meiothermus,Melissococcus,Mesorhizobium,Methanobrevibacter,Methylibium,Methylobacterium,Methylophilus,Methylopila,Methyloversatilis,Microbacterium,Microbispora,Micrococcus,Microcoleus,Mitsuokella,Mobiluncus,Modestobacter,Mogibacterium,Moraxella,Morganella,Moryella,Mycobacterium,Mycoplasma,Myroides,Neisseria,Nesterenkonia,Nevskia,Niastella,Nitrospira,Nocardia,Nocardioides,Nocardiopsis,Novosphingobium,Oceanobacillus,Odoribacter,Oligella,Olivibacter,Olsenella,Oribacterium,Oscillochloris,Oscillospira,Oxalobacter,PSB-M-3,Paenibacillus,Pandoraea,Pantoea,Parabacteroides,Paracoccus,Parascardovia,Pasteurella,Patulibacter,Paucibacter,Pedobacter,Pedomicrobium,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Phenylobacterium,Phormidium,Photobacterium,Phycicoccus,Phyllobacterium,Planifilum,Planomicrobium,Polaromonas,Polynucleobacter,Pontibacter,Porphyromonas,Prauserella,Prevotella,Propionibacterium,Propionicimonas,Propionispora,Proteus,Providencia,Pseudoalteromonas,Pseudobutyrivibrio,Pseudochrobactrum,Pseudoclavibacter,Pseudomonas,Pseudonocardia,Pseudoramibacter,Pseudoxanthomonas,Psychrobacter,Psychromonas,Pyramidobacter,RFN20,Ralstonia,Raoultella,Rathayibacter,Renibacterium,Rheinheimera,Rhodobacter,Rhodococcus,Rhodocyclus,Rhodoplanes,Rickettsia,Rickettsiella,Roseateles,Roseburia,Roseomonas,Rothia,Rubellimicrobium,Rubrivivax,Rubrobacter,Ruminococcus,Rummeliibacillus,SHD-231,Saccharopolyspora,Salinicoccus,Salmonella,Sarcina,Scardovia,Segetibacter,Selenomonas,Serratia,Sharpea,Shewanella,Shuttleworthia,Simonsiella,Simplicispira,Skermanella,Slackia,Sneathia,Solirubrobacter,Sphingobacterium,Sphingobium,Sphingomonas,Sphingopyxis,Spirosoma,Sporosarcina,Staphylococcus,Stenotrophomonas,Stenoxybacter,Streptobacillus,Streptococcus,Streptomyces,Subdoligranulum,Succinivibrio,Sutterella,Synergistes,Syntrophobacter,TG5,Tannerella,Tepidimonas,Terriglobus,Tessaracoccus,Tetragenococcus,Thauera,Thermicanus,Thermoactinomyces,Thermobacillus,Thermomonas,Thermus,Tissierella,Tolumonas,Trabulsiella,Treponema,Trichococcus,Tsukamurella,Turicibacter,Ureaplasma,Varibaculum,Variovorax,Veillonella,Vibrio,Vogesella,Wautersiella,Weissella,Williamsia,Wolinella,Xanthobacter,Xanthomonas,Xylanimicrobium,Zoogloea,Zymomonas,Best response
0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,295642,0,0,0,626099,0,0,0,0,0,0,0,0,0,0,0,210119,4158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4455627,0,0,2037,100262,373118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208988,0,0,0,0,35938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92532,0,0,4412,0,0,0,0,0,0,0,1337,0,17426,0,0,0,1443694,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,33084,0,0,0,0,0,0,5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221363,0,0,0,0,0,0,0,0,0,0,0,230925,0,0,0,0,0,0,0,0,0,0,294573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22029,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14212,0,0,0,0,0,0,0,0,0,0,0,0,75352,0,0,0,33552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,39140,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,676469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8976537,0,0,15737,0,88718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180617,0,0,0,0,0,0,0,0,0,0,0,3581,0,0,0,109507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,35599,0,0,0,0,0,0,29,0,0,0,4763,0,0,0,0,0,0,0,0,81398,0,0,0,123640,0,0,0,0,0,0,0,0,0,0,0,9346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3324872,0,0,29321,59520,71221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4211645,3914,0,0,0,185457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300526,0,0,0,0,11969,0,0,0,0,0,0,0,0,0,0,4411,0,37804,0,0,0,595513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130,0,0,0,0,0,0,15628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186697,0,0,0,0,0,533229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821,0,0,0,0,0,0,0,0,0,0,0,0,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8783,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,3858,0,0,0,0,0,0,0,0,0,0,0,0,291435,0,0,0,0,0,0,0,0,0,0,0,53222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200888,0,0,123706,37068,368492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873714,62016,0,0,0,569358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177836,0,0,0,0,31046,0,0,0,0,0,0,0,0,0,0,32294,0,36662,0,0,0,1014075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93308,0,0,0,0,0,0,0,0,0,0,0,919985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099076,0,1901,0,0,0,568286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,1203048,0,0,0,0,0,0,0,0,0,0,0,21627,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7823788,0,0,21198,59712,140365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24062,0,74542,13568,0,0,0,11675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8419,0,0,0,0,38621,0,0,0,0,0,0,0,0,0,0,2725,0,5696,0,0,0,1732461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96169,0,0,0,0,0,0,0,0,0,0,0,921818,0,0,0,0,0,0,0,0,0,0,151955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,42181,0,1572,0,0,0,254501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15403,0,0,0,219037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10065,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004247,0,0,68322,0,133080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234220,0,0,0,0,11892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453002,0,0,0,0,12879,0,0,55160,0,0,0,4108,0,0,0,169232,0,0,0,0,0,1066991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9273,0,0,0,0,1335405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641858,0,0,0,0,0,303445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3182,0,0,0,40690,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678339,0,0,0,0,0,0,0,0,0,0,0,16236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600398,0,0,101582,0,82871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73609,15802,0,0,6995,4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212042,0,0,0,0,16106,0,0,27670,0,0,0,0,0,0,0,263236,0,107950,0,0,0,312793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20753,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231120,0,0,0,0,0,0,0,0,0,0,0,1837935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9857,0,0,0,234141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,50041,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055479,0,0,0,633647,0,0,0,0,0,0,0,0,0,0,0,82918,19057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300557,0,0,112065,206599,150699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312863,15108,137098,0,757,138219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65485,0,126,0,0,0,0,30042,0,0,4501,0,0,0,0,0,0,0,196311,0,28685,0,0,0,892638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164037,0,0,0,0,0,0,0,0,0,0,0,856396,0,0,0,0,0,0,0,0,0,0,410485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745470,0,0,0,0,0,1002911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69999,0,0,0,896910,0,0,0,0,0,0,0,0,0,0,0,139887,8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5487499,0,0,24642,111054,163928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066628,311,0,0,0,15579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28100,0,3468,0,0,0,0,79444,0,0,5014,0,0,0,0,0,0,0,852,0,0,0,0,0,632114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254990,0,0,0,0,0,0,0,0,0,0,0,1020574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1454340,0,0,0,0,0,0,0,0,0,0,4175,0,0,0,0,0,0,0,0,0,0,0,0,1671847,0,0,0,0,0,0,0,0,0,0,0,8433,8409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4112318,0,0,190788,0,239249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444618,0,0,0,0,38763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230376,0,0,0,0,96914,0,0,69367,0,0,0,0,0,0,0,8831,0,63129,0,0,0,966761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354243,0,0,0,0,0,220623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24137,0,0,0,352325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0
